"","HH_ID","Time","Locationch1","Activitych1","Locationch2","Activitych2","Locationch3","Activitych3","Comment","Day"
"1","ETH001","Morning","Home","Eating and Washing hands","Home","Eating, Washing hands and Helping parents","home","Eating, washing hands, and Helping parents by doing household chores","The Target child (ETAY003) and his older sister (ETAM002) spend most of their time together and interact each other. However, the oldest pre-pubescent daughter ( ETAS004) does not spend much time with her younger sister(ETAM002) and brother ( ETAY003-Target child) The location and the activities/ interaction of the siblings are similar for school days (Monday to Friday)","Monday"
"2","ETMA00001","Morning","Home","Eating breakfast, collecting learning matrials and preparing to go to school","Home",NA,NA,NA,"It is the responsibility of the older child to look after her younger sister while going to school","Monday"
"3","ETMT00002","Morning","Home","Eating and going to school","Home","Eating and going to school","home","Eating, washing household utitlities And reading",NA,"Monday"
"4","KEMB00014","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Monday"
"5","KEME00012","Morning","home","taking breakfast","home","taking breakfast",NA,NA,"holiday differs","Monday"
"6","KEMH00011","Morning","home","taking breakfast and preparing for school","home","taking breakfast and preparing for school",NA,NA,NA,"Monday"
"7","KEMB00051","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Monday"
"8","KECM00029","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Monday"
"9","KECP00040","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Monday"
"10","KECC00021","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Monday"
"11","KECO00028","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Monday"
"12","KECL00015","Morning","home","breakfast and prepare for school",NA,"home","breakfast and prepare for school","home","breakfast and prepare for school","Monday"
"13","ETBR00002","Morning","Bed room and dining room","Wearing school uniform and eating","Bed room and dining room","Wearing school uniform and eating",NA,NA,"Regular activities","Monday"
"14","ETBK00001","Morning","Bed room","Wearing school uniform","Bed room","Wearing school uniform","Bed room","Wearing school uniform","These are regular activities","Monday"
"15","ETMF00003","Morning","Home","Eating and going to school","Home","Eating and going to school","home","Eating and escorting or accompanying her younger sisters",NA,"Monday"
"16","ETH001","midday","school street","Eating lunch at school and Attending class","school street","Eating lunch at school and","school street","Eating lunch at school and",NA,"Monday"
"17","ETMA00001","midday","Home","Taking rest After arrival from school","School and on the way to home","Attending class",NA,"Attending class",NA,"Monday"
"18","ETMT00002","midday","school","Attending classs","school","Attending classs","school","Attending classs",NA,"Monday"
"19","KEMB00014","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"20","KEME00012","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"21","KEMH00011","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"22","KEMB00051","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"23","KECM00029","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"24","KECP00040","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"25","KECC00021","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"26","KECO00028","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"27","KECL00015","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"28","ETBR00002","midday","school","Learning","school","Learning",NA,NA,"Since students are at school, it would be best if their teachers are asked rather than asking parents","Monday"
"29","ETBK00001","midday","school","Learning","school","Learning","school","Learning",NA,"Monday"
"30","ETMF00003","midday","school","Attending class","school","Attending class","school","Go to school",NA,"Monday"
"31","ETH001","afternoon","home","Playing, Doing homework with ETAM002, Accompany ETAM002 in when fetching water","home","Fetching water and Playing with the young child (ETAY003), Helping him  in doing homo work ,","home","Washing household utilities, clean compound Fetching water Do homework",NA,"Monday"
"32","ETMA00001","afternoon","On the road, outside home","Playing with her older sister and neighboring children","On the road, outside home","Playing with her young sister and neighboring children, reading",NA,NA,NA,"Monday"
"33","ETMT00002","afternoon","home","Eating and playing","home","Eating and caring the kid","home","Attending class",NA,"Monday"
"34","KEMB00014","afternoon","school",NA,"school",NA,NA,NA,NA,"Monday"
"35","KEME00012","afternoon","school",NA,"school",NA,NA,NA,NA,"Monday"
"36","KEMH00011","afternoon","school",NA,"school",NA,NA,NA,NA,"Monday"
"37","KEMB00051","afternoon","school",NA,"school",NA,NA,NA,NA,"Monday"
"38","KECM00029","afternoon","school",NA,"school",NA,NA,NA,NA,"Monday"
"39","KECP00040","afternoon","school",NA,"school",NA,NA,NA,NA,"Monday"
"40","KECC00021","afternoon","school",NA,"school",NA,NA,NA,NA,"Monday"
"41","KECO00028","afternoon","school",NA,"school",NA,NA,NA,NA,"Monday"
"42","KECL00015","afternoon","school",NA,"school",NA,NA,NA,NA,"Monday"
"43","ETBR00002","afternoon","school","Learning","school","Learning",NA,NA,"Since students are at school, it would be best if their teachers are asked rather than asking parents","Monday"
"44","ETBK00001","afternoon","school","Learning","school","Learning","school","Learning",NA,"Monday"
"45","ETMF00003","afternoon","home","Eating and playing","home","Eating and playing","home","Attending class",NA,"Monday"
"46","ETH001","evening","home","No major activity Sometimes play and talk  with ETAM002, Eat dinner","home","No major activity Sometimes play and talk  with ETAY002, Eat dinner,","home","Doing homework, Cook dinner, Help younger siblings to get sleep Eat dinner",NA,"Monday"
"47","ETMA00001","evening","home","Eating and playing with her sister","home","Eating and playing with her younger sister

",NA,NA,NA,"Monday"
"48","ETMT00002","evening","home","Eating and playng","home","Eating and playing with older sister","home","Eating and playing with younger sisters",NA,"Monday"
"49","KEMB00014","evening","home","cutting napier grass with grandma","home","peeling potatoes.washing utensils.frying vegetables",NA,NA,NA,"Monday"
"50","KEME00012","evening","home","collecting milk and watchin cartoons","home","collecting milk and watchin cartoons",NA,NA,NA,"Monday"
"51","KEMH00011","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Monday"
"52","KEMB00051","evening","home","looking after small kids","home","looking after small kids",NA,NA,NA,"Monday"
"53","KECM00029","evening","home","playing and collecting milk","home","playing and collecting milk",NA,NA,NA,"Monday"
"54","KECP00040","evening","home","collectin milk","home","collecting milk",NA,NA,NA,"Monday"
"55","KECC00021","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Monday"
"56","KECO00028","evening","home","cleaning dishes and bringing goats to the shed","home","cleaning dishes and bringing goats to the shed",NA,NA,NA,"Monday"
"57","KECL00015","evening","home","collecting milk","home","herding","home","cleaning utensils and washing school uniform",NA,"Monday"
"58","ETBR00002","evening","home","Eating,Playing,Sleeping","Home","Eating,Playing",NA,NA,"These are not regular activities","Monday"
"59","ETBK00001","evening","home","Eating and playing","home","Eating and playing","home","Eating and playing",NA,"Monday"
"60","ETMF00003","evening","home","Eating and playing","home","Eating, playing and doing assignment","home","Eating, playing and doing assignment",NA,"Monday"
"61","ETH001",NA,NA,NA,NA,NA,NA,NA,NA,"Tuesday"
"62","ETMA00001","morning","home","Washing face, eating breakfast and arraigning learning materials to go to school","home","Eating with her younger sister and washing the materials used for eating",NA,NA,NA,"Tuesday"
"63","ETMT00002","morning","home","Eating and going to school","home","Eating and going to school","home","Eating and washing household utilities",NA,"Tuesday"
"64","KEMB00014","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Tuesday"
"65","KEME00012","Morning","home","taking breakfast","home","taking breakfast",NA,NA,"holiday differs","Tuesday"
"66","KEMH00011","Morning","home","taking breakfast and preparing for school","home","taking breakfast and preparing for school",NA,NA,NA,"Tuesday"
"67","KEMB00051","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Tuesday"
"68","KECM00029","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Tuesday"
"69","KECP00040","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Tuesday"
"70","KECC00021","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Tuesday"
"71","KECO00028","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Tuesday"
"72","KECL00015","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,"Tuesday"
"73","ETBR00002","Morning","Bed room and dining room","Wearing school uniform and eating","Bed room and dining room","Wearing school uniform and eating",NA,NA,"Regular activities","Tuesday"
"74","ETBK00001","Morning","home","Brushing tooth","home","Combing hair","home","Wearing,School uniform","These are regular activities","Tuesday"
"75","ETMF00003","Morning","home","Eating and going to school","home","Eating and going to school","home","Eating and escorting or accompanying her younger sisters",NA,"Tuesday"
"76","ETH001",NA,NA,NA,NA,NA,NA,NA,NA,"Tuesday"
"77","ETMA00001","midday","school","Waiting for her older sister to go home together","School and on the way to home","Go to KG classes to take her younger sister",NA,NA,NA,"Tuesday"
"78","ETMT00002","midday","school","Attending classs","School","Attending classs","home","Cleaning home",NA,"Tuesday"
"79","KEMB00014","midday","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"80","KEME00012","midday","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"81","KEMH00011","midday","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"82","KEMB00051","midday","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"83","KECM00029","midday","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"84","KECP00040","midday","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"85","KECC00021","midday","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"86","KECO00028","midday","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"87","KECL00015","midday","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"88","ETBR00002","midday","school","Learning","school","Learning",NA,NA,"Since students are at school, it would be best if their teachers are asked rather than asking parents","Tuesday"
"89","ETBK00001","midday","school","eating","school","eating","school","eating",NA,"Tuesday"
"90","ETMF00003","midday","school","Attending class","school","Attending class","home","Washing household utilities and going to school",NA,"Tuesday"
"91","ETH001","afternoon",NA,NA,NA,NA,NA,NA,NA,"Tuesday"
"92","ETMA00001","afternoon","home","Eating and taking rest","home","Eating and washing household utilities, reading",NA,NA,NA,"Tuesday"
"93","ETMT00002","afternoon","home","Eating and playing","home","Eating and caring the kid","school","Attending class",NA,"Tuesday"
"94","KEMB00014","afternoon","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"95","KEME00012","afternoon","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"96","KEMH00011","afternoon","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"97","KEMB00051","afternoon","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"98","KECM00029","afternoon","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"99","KECP00040","afternoon","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"100","KECC00021","afternoon","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"101","KECO00028","afternoon","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"102","KECL00015","afternoon","school",NA,"school",NA,NA,NA,NA,"Tuesday"
"103","ETBR00002","afternoon","school","Learning","school","Learning",NA,NA,"Since students are at school, it would be best if their teachers are asked rather than asking parents","Tuesday"
"104","ETBK00001","afternoon","school","Learning","school","Learning","school","Learning",NA,"Tuesday"
"105","ETMF00003","afternoon","home","Eating and playing","home","Eating and playing","school","Attending class",NA,"Tuesday"
"106","ETH001","evening",NA,NA,NA,NA,NA,NA,NA,"Tuesday"
"107","ETMA00001","evening","home","Eating, playing with older sister, sleeping together","home","Eating, playing with younger sister, sleeping together",NA,NA,NA,"Tuesday"
"108","ETMT00002","evening","home","Eating and playng","home","Eating and playing with older sister","home","Eating and doing homework",NA,"Tuesday"
"109","KEMB00014","evening","home","cutting napier grass with grandma","home","peeling potatoes.washing utensils.frying vegetables",NA,NA,NA,"Tuesday"
"110","KEME00012","evening","home","collecting milk and watchin cartoons","home","collecting milk and watchin cartoons",NA,NA,NA,"Tuesday"
"111","KEMH00011","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Tuesday"
"112","KEMB00051","evening","home","looking after small kids","home","looking after small kids",NA,NA,NA,"Tuesday"
"113","KECM00029","evening","home","playing and collecting milk","home","playing and collecting milk",NA,NA,NA,"Tuesday"
"114","KECP00040","evening","home","collectin milk","home","collecting milk",NA,NA,NA,"Tuesday"
"115","KECC00021","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Tuesday"
"116","KECO00028","evening","home","cleaning dishes and bringing goats to the shed","home","cleaning dishes and bringing goats to the shed",NA,NA,NA,"Tuesday"
"117","KECL00015","evening","home","collecting milk","home","herding","home","cleaning utensils and washing school uniform",NA,"Tuesday"
"118","ETBR00002","evening","home","Eating,Playing,Sleeping","Home","Eating,Playing",NA,NA,"These are not regular activities","Tuesday"
"119","ETBK00001","evening","home","Doing assignment","home","Doing assignment","home","Doing assignment",NA,"Tuesday"
"120","ETMF00003","evening","home","Eating and playing, listening puzzels, tales and poems","home","Eating and playing, narrating puzzels, tales and poems to her younger sister.","home","Eating and playing, narrating puzzels, tales and poems to her younger sister.",NA,"Tuesday"
"121","ETH001","morning",NA,NA,NA,NA,NA,NA,NA,"Wednesday"
"122","ETMA00001","morning","home","Washing face, eating breakfast and arranging learning materials to go to school","home","Eating with her younger sister and washing the materials used for eating",NA,NA,NA,"Wednesday"
"123","ETMT00002","morning","home","Eating and going t school","home","Eating and going t school","home","Eating, cleaning house and household utilities",NA,"Wednesday"
"124","KEMB00014","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Wednesday"
"125","KEME00012","Morning","home","taking breakfast","home","taking breakfast",NA,NA,"holiday differs","Wednesday"
"126","KEMH00011","Morning","home","taking breakfast and preparing for school","home","taking breakfast and preparing for school",NA,NA,NA,"Wednesday"
"127","KEMB00051","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Wednesday"
"128","KECM00029","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Wednesday"
"129","KECP00040","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Wednesday"
"130","KECC00021","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Wednesday"
"131","KECO00028","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Wednesday"
"132","KECL00015","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,"Wednesday"
"133","ETBR00002","Morning","home","Praying,Washing,Eating breakfast","home","Praying,Washing,Eating breakfast",NA,NA,"Regular activities","Wednesday"
"134","ETBK00001","Morning","Home","Praying","Home","Praying","Home","Praying","These are not regular activities","Wednesday"
"135","ETMF00003","Morning","home","Eating and going to school","home","Eating and going to school","home","Eating and escorting or accompanying her younger sisters",NA,"Wednesday"
"136","ETH001","midday",NA,NA,NA,NA,NA,NA,NA,"Wednesday"
"137","ETMA00001","midday","school","Waiting for her older sister to go home together","School and on the way to home","Go to KG classes to take her younger sister",NA,NA,NA,"Wednesday"
"138","ETMT00002","midday","school","Attending class","school","Attendinclass","school","Going to school",NA,"Wednesday"
"139","KEMB00014","midday","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"140","KEME00012","midday","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"141","KEMH00011","midday","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"142","KEMB00051","midday","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"143","KECM00029","midday","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"144","KECP00040","midday","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"145","KECC00021","midday","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"146","KECO00028","midday","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"147","KECL00015","midday","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"148","ETBR00002","midday","school","Learning,Eating lunch","school","Learning,Eating lunch",NA,NA,"Since students are at school, it would be best if their teachers are asked rather than asking parents","Wednesday"
"149","ETBK00001","midday","school","Learning,Singing","school","playing","school","doing classwork","These are not regular activities","Wednesday"
"150","ETMF00003","midday","school","Attending class","school","Attending class","home","Washing household utilities and going to school",NA,"Wednesday"
"151","ETH001",NA,NA,NA,NA,NA,NA,NA,NA,"Wednesday"
"152","ETMA00001","afternoon","home","Eating and taking rest","home","Eating and washing household utilities, reading",NA,NA,NA,"Wednesday"
"153","ETMT00002","afternoon","home","Eating and playing","home","Eating and playing","school","Attending class",NA,"Wednesday"
"154","KEMB00014","afternoon","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"155","KEME00012","afternoon","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"156","KEMH00011","afternoon","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"157","KEMB00051","afternoon","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"158","KECM00029","afternoon","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"159","KECP00040","afternoon","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"160","KECC00021","afternoon","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"161","KECO00028","afternoon","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"162","KECL00015","afternoon","school",NA,"school",NA,NA,NA,NA,"Wednesday"
"163","ETBR00002","afternoon","school","Learning,Eating lunch","school","Learning,Eating lunch",NA,NA,"Since students are at school, it would be best if their teachers are asked rather than asking parents","Wednesday"
"164","ETBK00001","afternoon","school","eating","school","playing","school","learning",NA,"Wednesday"
"165","ETMF00003","afternoon","home","Eating and playing","home","Eating and playing","school","Attending class",NA,"Wednesday"
"166","ETH001","evening",NA,NA,NA,NA,NA,NA,NA,"Wednesday"
"167","ETMA00001","evening","home","Eating, playing with older sister, sleeping together","home","Eating, playing with younger sister, sleeping together",NA,NA,NA,"Wednesday"
"168","ETMT00002","evening","home","Eating and attending religious education","home","Eating and attending religious education","home","Eating and attending religious education",NA,"Wednesday"
"169","KEMB00014","evening","home","cutting napier grass with grandma","home","peeling potatoes.washing utensils.frying vegetables",NA,NA,NA,"Wednesday"
"170","KEME00012","evening","home","collecting milk and watchin cartoons","home","collecting milk and watchin cartoons",NA,NA,NA,"Wednesday"
"171","KEMH00011","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Wednesday"
"172","KEMB00051","evening","home","looking after small kids","home","looking after small kids",NA,NA,NA,"Wednesday"
"173","KECM00029","evening","home","playing and collecting milk","home","playing and collecting milk",NA,NA,NA,"Wednesday"
"174","KECP00040","evening","home","collectin milk","home","collecting milk",NA,NA,NA,"Wednesday"
"175","KECC00021","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Wednesday"
"176","KECO00028","evening","home","cleaning dishes and bringing goats to the shed","home","cleaning dishes and bringing goats to the shed",NA,NA,NA,"Wednesday"
"177","KECL00015","evening","home","collecting milk","home","herding","home","cleaning utensils and washing school uniform",NA,"Wednesday"
"178","ETBR00002","evening","Home","Doing assignment, eating snack, playing","home","Doing assignment, eating snack, playing",NA,NA,"These are not regular activities","Wednesday"
"179","ETBK00001","evening","Home","watching","home","doing homework","home","helping parents","These are not regular activities","Wednesday"
"180","ETMF00003","evening","home","Eating and playing, listening puzzels, tales and poems","home","Eating and playing, narrating puzzels, tales and poems to her younger sister.","home","Eating and playing, narrating puzzels, tales and poems to her younger sister.",NA,"Wednesday"
"181","ETH001","morning",NA,NA,NA,NA,NA,NA,NA,"Thursday"
"182","ETMA00001","morning","home","Washing face, eating breakfast and arraigning learning materials to go to school","home","Eating with her younger sister and washing the materials used for earing",NA,NA,NA,"Thursday"
"183","ETMT00002","morning","home","Eating and going to school","home","Eating and going to school","home","Eating and letting her younger sisters to arrive at school",NA,"Thursday"
"184","KEMB00014","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Thursday"
"185","KEME00012","Morning","home","taking breakfast","home","taking breakfast",NA,NA,"holiday differs","Thursday"
"186","KEMH00011","Morning","home","taking breakfast and preparing for school","home","taking breakfast and preparing for school",NA,NA,NA,"Thursday"
"187","KEMB00051","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Thursday"
"188","KECM00029","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Thursday"
"189","KECP00040","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Thursday"
"190","KECC00021","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Thursday"
"191","KECO00028","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Thursday"
"192","KECL00015","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,"Thursday"
"193","ETBR00002","Morning","home","Washing ,eating breakfast, preparing to go to school","Home","Washing ,eating breakfast, preparing to go to school",NA,NA,"Regular activities","Thursday"
"194","ETBK00001","Morning","home","Eating breakfast","home","Eating breakfast","home","Eating breakfast","These are regular activities","Thursday"
"195","ETMF00003","Morning","home","Eating and going to school","home","Eating and going to school","home","Eating and escorting or accompanying her younger sisters",NA,"Thursday"
"196","ETH001","midday",NA,NA,NA,NA,NA,NA,NA,"Thursday"
